Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,1,St. Petersburg State University,Russia,SPb State University,Andrei Lopatine,Nikolai Durov,Oleg Eterevsky,True,False,False,False,7,8,0.88,941,"World Champion, Europe Champion"
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,2,University of Melbourne,Australia,The University of Melbourne,Andrew Rogers,John Dethridge,John FitzGerald,True,False,False,False,7,8,0.88,,South Pacific Champion
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,3,University of Waterloo,Canada,Waterloo,Donny Cheung,Jeff Shute,Ondrej Lhotak,True,False,False,False,7,8,0.88,1641,North America Champion
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,4,Ulm University,Germany,Ulm Sparrows,Marc Meister,Peter Schaeffer,Walter Guttmann,False,True,False,False,6,8,0.75,1003,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,5,St. Petersburg Institute of Fine Mechanics & Optics,Russia,St. Petersburg IFMO,Andrey Stankevich,Denis Kouznetsov,Georgiy Korneev,False,True,False,False,6,8,0.75,1051,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,6,Tsinghua University,China,Tsinghua Serendipper,,,,False,True,False,False,6,8,0.75,1358,Asia Champion
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,7,Kyoto University,Japan,Kyoto Abacus,,,,False,False,True,False,5,8,0.62,1096,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,8,Shanghai Jiao Tong University,China,Shanghai JiaoTong U,,,,False,False,True,False,5,8,0.62,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,9,The Chinese University of Hong Kong,Hong Kong,CU Hong Kong,,,,False,False,True,False,5,8,0.62,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,10,University of Alberta,Canada,UAlberta,,,,False,False,True,False,5,8,0.62,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,11,California Institute of Technology,United States,"Caltech Abort, Retry, Fail?",,,,False,False,True,False,5,8,0.62,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,12,Charles University in Prague,Czechia,Charles University,,,,False,False,True,False,5,8,0.62,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,Bangladesh University of Engineering and Technology,Bangladesh,BUET Backtrackers,,,,False,False,False,True,4,8,0.5,928,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,Carnegie Mellon University,United States,C-MU Team N,,,,False,False,False,True,4,8,0.5,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,Moscow State University,Russia,Moscow State Prodigy,Alexander Khokhlov,Andrey Belivantsev,Oleg Malikov,False,False,False,True,4,8,0.5,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,University of Central Florida,United States,UCF Knights,,,,False,False,False,True,4,8,0.5,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,University of Toronto,Canada,U Toronto,,,,False,False,False,True,4,8,0.5,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,University of Washington,United States,U Washington Purple,,,,False,False,False,True,4,8,0.5,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,13 - 19,Zhongshan (Sun Yat-sen) University,China,ZhongShan University,,,,False,False,False,True,4,8,0.5,964,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,Massachusetts Institute of Technology,United States,MIT Engineers,,,,False,False,False,True,3,8,0.38,544,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,Novosibirsk State University,Russia,Novosibirsk University,Alexander Shapeev,Alexey Baburin,Evgeniy Chetvertakov,False,False,False,True,3,8,0.38,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,South Ural State University,Russia,SUrSU Chelyabinsk,Mikhail Sogrin,Pavel Ustinov,Vladislav Trotsenko,False,False,False,True,3,8,0.38,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,Stanford University,United States,Stanford,,,,False,False,False,True,3,8,0.38,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,Universidad Politécnica de Madrid,Spain,UPM Séneca,,,,False,False,False,True,3,8,0.38,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,University of Bucharest,Romania,UNIBUC Bucharest,,,,False,False,False,True,3,8,0.38,,
2000,2000-03-18,United States,"Orlando, FL",Radisson Hotel Universal Orlando,20 - 26,Virginia Tech,United States,VA TECH,,,,False,False,False,True,3,8,0.38,622,
